[
  "2015-03-12 10:17 +900.00 Body",
  "2015-03-14 00:00 +0.25 Interest",
  "2015-03-14 00:00 +8.40 Fee",
  "2015-03-15 00:00 +0.25 Interest",
  "2015-03-15 00:00 +8.40 Fee",
  "2015-03-16 00:00 +0.25 Interest",
  "2015-03-16 00:00 +18.40 Fee",
  "2015-03-17 00:00 +10.25 Interest",
  "2015-03-17 00:00 +8.40 Fee",
  "2015-03-18 00:00 +0.25 Interest",
  "2015-03-18 00:00 +8.40 Fee",
  "2015-03-18 00:00 +0.25 Interest",
  "2015-03-18 00:00 +8.40 Fee",
  "2015-03-19 00:00 +0.25 Interest",
  "2015-03-19 00:00 +8.40",
  "2015-03-20 12:00 +0.25 Interest",
  "2015-03-20 12:00 +8.40 Fee" // plus,
  "2015-03-21 00:00 +0.25 Interest",
  "2015-03-21 00:00 +8.40 Fee",
  "2015-03-22 00:00 +0.25 Interest",
  "2015-03-22 00:00 +8.40 Fee",
  "2015-03-26 00:00 +0.25 Interest",
  "2015-03-26 00:00 +8.40 Fee",
  "2015-03-27 00:00 +0.25 Interest",
  "2015-03-27 00:00 +8.40 Fee",
  "2015-03-27 00:00 +8.40 Fee" // comment,
  "2015-03-27 00:00 +8.40 Fee",
  "2015-03-28 00:00 +0.25 Interest",
  "2015-03-28 00:00 +8.40 Fee",
  "2015-03-29 00:00 +0.25 Interest",
  "2015-03-29 00:00 +8.40 Fee",
  "2015-03-30 00:00 +0.25 Interest",
  "2015-03-30 00:00 +8.40 Fee",
  "2015-03-31 00:00 +0.25 Interest",
  "2015-03-31 00:00 +8.40 Fee",
  "2015-04-01 00:00 +0.25 Interest",
  "2015-04-01 00:00 +8.40 Fee",
  "2015-04-02 00:00 +0.25 Interest",
  "2015-04-02 00:00 +8.40 Fee",
  "2015-04-03 00:00 +0.25 Interest",
  "2015-04-03 00:00 +8.40 Fee",
  "2015-04-04 00:00 +0.25 Interest",
  "2015-04-04 00:00 +8.40 Fee",
  "2015-04-05 00:00 +0.25 Interest",
  "2015-04-05 00:00 +8.40 Fee",
  "2015-04-06 00:00 +0.25 Interest",
  "2015-04-06 00:00 +8.40 Fee",
  "2015-04-07 00:00 +0.25 Interest",
  "2015-04-07 00:00 +8.40 Fee",
  "2015-04-08 00:00 +0.25 Interest",
  "2015-04-08 00:00 +8.40 Fee",
  "2015-04-09 00:00 +0.25 Interest",
  "2015-04-09 00:00 +8.40 Fee",
  "2015-04-10 00:00 +0.25 Interest",
  "2015-04-10 00:00 +8.40 Fee",
  "2015-04-11 00:00 Interest",
  "2015-04-11 00:00 +8.40 Fee",
  "2015-04-12 00:00 +259.75 Prolongation <-- incoming payment",
  "2015-04-12 00:00 +0.25 Interest",
  "2015-04-13 00:00 +0.25 Interest",
  "2015-04-13 00:00 +8.40 Fee",
  "2015-04-13 00:00 -252.00 RepaymentFee",
  "2015-04-13 00:00 -7.75 RepaymentInterest",
  "2015-04-14 00:00 +0.25 Interest",
  "2015-04-14 00:00 +8.40 Fee",
  "2015-04-15 00:00 +0.25 Interest",
  "2015-04-15 00:00 +8.40 Fee",
  "2015-04-16 00:00 +0.25 Interest",
  "2015-04-16 00:00 +8.40 Fee",
  "2015-04-17 00:00 +0.25 Interest",
  "2015-04-17 00:00 +8.40 Fee",
  "2015-04-18 00:00 +0.25 Interest",
  "2015-04-18 00:00 +8.40 Fee",
  "2015-04-19 00:00 +0.25 Interest",
  "2015-04-19 00:00 +8.40 Fee",
  "2015-04-20 00:00 +0.25 Interest",
  "2015-04-20 00:00 +8.40 Fee",
  "2015-04-21 00:00 +0.25 Interest",
  "2015-04-21 00:00 +8.40 Fee",
  "2015-04-22 00:00 +0.25 Interest",
  "2015-04-22 00:00 +8.40 Fee",
  "2015-04-23 00:00 +0.25 Interest",
  "2015-04-23 00:00 +8.40 Fee",
  "2015-04-24 00:00 +0.25 Interest",
  "2015-04-24 00:00 +8.40 Fee",
  "2015-04-25 00:00 +0.25 Interest",
  "2015-04-25 00:00 +8.40 Fee",
  "2015-04-26 00:00 +0.25 Interest",
  "2015-04-26 00:00 +8.40 Fee",
  "2015-04-27 00:00 +0.25 Interest",
  "2015-04-27 00:00 +8.40 Fee",
  "2015-04-28 00:00 +0.25 Interest",
  "2015-04-28 00:00 +8.40 Fee",
  "2015-04-29 00:00 +0.25 Interest",
  "2015-04-29 00:00 +8.40 Fee",
  "2015-04-30 00:00 +0.25 Interest",
  "2015-04-30 00:00 +8.40 Fee",
  "2015-05-01 00:00 +0.25 Interest",
  "2015-05-01 00:00 +8.40 Fee",
]
